accession_number,accession_date,title,maker,medium,description,classification,creation_date_avg
A.1.751.F,2013-07-01,"Series including Antoinette Maynard, Charles Prendergast, Eugénie Prendergast, and Claudine (Prendergast's maid); Eugénie Prendergast standing outside house",,photograph,,WCMA-Prendergast,1940.0
A.1.752.B,2013-07-01,"Series of Charles Prendergast and M.D.C. Crawford in garden at Crooked Mile Road, Westport, CT (L to R) M.D.C. Crawford, Charles Prendergast",,photograph,,WCMA-Prendergast,1941.0
A.1.752.C,2013-07-01,"Photographs of Charles Prendergast and M.D.C. Crawford in garden at Crooked Mile Road, Westport, CT",,photograph,,WCMA-Prendergast,1941.0
A.1.752.D,2013-07-01,"Series of Charles Prendergast and M.D.C. Crawford in garden at Crooked Mile Road, Westport, CT (L to R) M.D.C. Crawford, Charles Prendergast",,photograph,,WCMA-Prendergast,1941.0
A.1.753.B,2013-07-01,Series including Eugénie Prendergast and Antoinette Maynard at Crooked Mile Road; Eugénie Prendergast standing outside house,,photograph,,WCMA-Prendergast,1939.0
A.1.753.C,2013-07-01,Series including Eugénie Prendergast and Antoinette Maynard at Crooked Mile Road; Eugénie Prendergast standing outside house,,photograph,,WCMA-Prendergast,1939.0
A.1.753.D,2013-07-01,Series including Eugénie Prendergast and Antoinette Maynard at Crooked Mile Road; Eugénie Prendergast standing outside house,,photograph,,WCMA-Prendergast,1939.0
A.1.755.B,2013-07-01,Sketches used as guides for mirror for Antoinette Maynard,,photograph,,WCMA-Prendergast,1941.0
A.1.756.B,2013-07-01,"Series at Crooked Mile Road, Westport, CT including M.D.C. Crawford, Antoinette Maynard, and Charles Prendergast; (L to R) Eugénie Prendergast, Antoinette Maynard, Charles Prendergast in front of house",,photograph,,WCMA-Prendergast,1941.0
A.1.756.C,2013-07-01,"Series at Crooked Mile Road, Westport, CT including M.D.C. Crawford, Antoinette Maynard, and Charles Prendergast; (L to R) M.D.C. Crawford, Antoinette Maynard, Charles Prendergast in front of house",,photograph,,WCMA-Prendergast,1941.0
A.1.757.B,2013-07-01,"Series including Antoinette Maynard, Charles Prendergast, Eugénie Prendergast, Elizabeth Crawford and Marion Travis; Antoinette Maynard in garden",,photograph,,WCMA-Prendergast,1941.0
A.1.757.C,2013-07-01,"Series including Antoinette Maynard, Charles Prendergast, Eugénie Prendergast, Elizabeth Crawford and Marion Travis; (L to R) Antoinette Maynard, Eugénie Prendergast, Marion Travis, Elizabeth Crawford, Charles Prendergast outside house",,photograph,,WCMA-Prendergast,1941.0
A.1.757.D,2013-07-01,"Series including Antoinette Maynard, Charles Prendergast, Eugénie Prendergast, Elizabeth Crawford and Marion Travis; Antoinette Maynard standing outside house",,photograph,,WCMA-Prendergast,1941.0
A.1.757.E,2013-07-01,"Series including Antoinette Maynard, Charles Prendergast, Eugénie Prendergast, Elizabeth Crawford and Marion Travis; house",,photograph,,WCMA-Prendergast,1941.0
A.1.757.F,2013-07-01,"Series including Antoinette Maynard, Charles Prendergast, Eugénie Prendergast, Elizabeth Crawford and Marion Travis; Antoinette Maynard standing outside house",,photograph,,WCMA-Prendergast,1941.0
A.1.757.G,2013-07-01,"Series including Antoinette Maynard, Charles Prendergast, Eugénie Prendergast, Elizabeth Crawford and Marion Travis; Antoinette Maynard standing outside house",,photograph,,WCMA-Prendergast,1941.0
A.1.757.H,2013-07-01,"Series including Antoinette Maynard, Charles Prendergast, Eugénie Prendergast, Elizabeth Crawford and Marion Travis; Charles Prendergast, Antoinette Maynard",,photograph,,WCMA-Prendergast,1941.0
A.1.757.I,2013-07-01,"Series including Antoinette Maynard, Charles Prendergast, Eugénie Prendergast, Elizabeth Crawford and Marion Travis; Antoinette Maynard on steps outside house",,photograph,,WCMA-Prendergast,1941.0
A.1.757.J,2013-07-01,"Series including Antoinette Maynard, Charles Prendergast, Eugénie Prendergast, Elizabeth Crawford and Marion Travis; Antoinette Maynard, Charles Prendergast",,photograph,,WCMA-Prendergast,1941.0
A.1.757.K,2013-07-01,"Series including Antoinette Maynard, Charles Prendergast, Eugénie Prendergast, Elizabeth Crawford and Marion Travis; Eugénie Prendergast, Antoinette Maynard standing outside house",,photograph,,WCMA-Prendergast,1941.0
A.1.757.L,2013-07-01,"Series including Antoinette Maynard, Charles Prendergast, Eugénie Prendergast, Elizabeth Crawford and Marion Travis; Eugénie Prendergast, Charles Prendergast",,photograph,,WCMA-Prendergast,1941.0
A.1.757.M,2013-07-01,"Series including Antoinette Maynard, Charles Prendergast, Eugénie Prendergast, Elizabeth Crawford and Marion Travis; Antoinette Maynard, Charles Prendergast seated outside house",,photograph,,WCMA-Prendergast,1941.0
A.1.758.B,2013-07-01,"Series of photographs at Crooked Mile Road, Westport, CT including bird bath created by Charles Prendergast; garden and bird bath",,photograph,,WCMA-Prendergast,1941.0
A.1.758.C,2013-07-01,"Series of gardens at Crooked Mile Road, Westport, CT including bird bath created by Charles Prendergast; garden",,photograph,,WCMA-Prendergast,1941.0
A.1.758.D,2013-07-01,"Series of gardens at Crooked Mile Road, Westport, CT including bird bath created by Charles Prendergast; garden and house",,photograph,,WCMA-Prendergast,1941.0
A.1.758.E,2013-07-01,"Series of gardens at Crooked Mile Road, Westport, CT including bird bath created by Charles Prendergast; house",,photograph,,WCMA-Prendergast,1941.0
A.1.758.F,2013-07-01,"Series of gardens at Crooked Mile Road, Westport, CT including bird bath created by Charles Prendergast; house",,photograph,,WCMA-Prendergast,1941.0
A.1.758.G,2013-07-01,"Series of gardens at Crooked Mile Road, Westport, CT including bird bath created by Charles Prendergast; porch",,photograph,,WCMA-Prendergast,1941.0
A.1.758.H,2013-07-01,"Series of gardens at Crooked Mile Road, Westport, CT including bird bath created by Charles Prendergast; house",,photograph,,WCMA-Prendergast,1941.0
A.1.758.I,2013-07-01,"Series of gardens at Crooked Mile Road, Westport, CT including bird bath created by Charles Prendergast; garden",,photograph,,WCMA-Prendergast,1941.0
A.1.758.J,2013-07-01,"Series of gardens at Crooked Mile Road, Westport, CT including bird bath created by Charles Prendergast; house",,photograph,,WCMA-Prendergast,1941.0
A.1.758.K,2013-07-01,"Series of gardens at Crooked Mile Road, Westport, CT including bird bath created by Charles Prendergast; porch and garden",,photograph,,WCMA-Prendergast,1941.0
A.1.758.L,2013-07-01,"Series of gardens at Crooked Mile Road, Westport, CT including bird bath created by Charles Prendergast; side of house",,photograph,,WCMA-Prendergast,1941.0
A.1.759.B,2013-07-01,Charles Prendergast and Eugénie Prendergast at Crooked Mile Road; Eugénie Prendergast in yard,,photograph,,WCMA-Prendergast,1924.0
A.1.759.C,2013-07-01,"Charles Prendergast and Eugénie Prendergast at Crooked Mile Road; (L to R) Eugénie Prendergast,  woman, Charles Prendergast",,photograph,,WCMA-Prendergast,1924.0
A.1.759.D,2013-07-01,Charles Prendergast and Eugénie Prendergast at Crooked Mile Road; Charles Prendergast standing in front of house,,photograph,,WCMA-Prendergast,1924.0
A.1.759.E,2013-07-01,Charles Prendergast and Eugénie Prendergast at Crooked Mile Road; Charles Prendergast in yard,,photograph,,WCMA-Prendergast,1924.0
A.1.759.F,2013-07-01,Charles Prendergast and Eugénie Prendergast at Crooked Mile Road; Charles Prendergast standing at side of house,,photograph,,WCMA-Prendergast,1924.0
A.1.759.G,2013-07-01,Charles Prendergast and Eugénie Prendergast at Crooked Mile Road; Eugénie Prendergast in front of house,,photograph,,WCMA-Prendergast,1924.0
A.1.759.H,2013-07-01,Charles Prendergast and Eugénie Prendergast at Crooked Mile Road; Eugénie Prendergast in front of house,,photograph,,WCMA-Prendergast,1924.0
A.1.759.I,2013-07-01,Charles Prendergast and Eugénie Prendergast at Crooked Mile Road; Eugénie Prendergast in yard,,photograph,,WCMA-Prendergast,1924.0
A.1.760.B,2013-07-01,"House on Crooked Mile Road, Westport, CT at various times of the year",,photograph,,WCMA-Prendergast,1924.0
A.1.760.C,2013-07-01,"House on Crooked Mile Road, Westport, CT at various times of the year",,photograph,,WCMA-Prendergast,1924.0
A.1.760.D,2013-07-01,"House on Crooked Mile Road, Westport, CT at various times of the year; man standing outside house",,photograph,,WCMA-Prendergast,1924.0
A.1.760.E,2013-07-01,"House on Crooked Mile Road, Westport, CT at various times of the year",,photograph,,WCMA-Prendergast,1924.0
A.1.760.F,2013-07-01,"House on Crooked Mile Road, Westport, CT at various times of the year",,photograph,,WCMA-Prendergast,1924.0
A.1.760.G,2013-07-01,"House on Crooked Mile Road, Westport, CT at various times of the year",,photograph,,WCMA-Prendergast,1924.0
A.1.760.H,2013-07-01,"House on Crooked Mile Road, Westport, CT at various times of the year",,photograph,,WCMA-Prendergast,1924.0
A.1.760.I,2013-07-01,"House on Crooked Mile Road, Westport, CT at various times of the year",,photograph,,WCMA-Prendergast,1924.0
A.1.760.J,2013-07-01,"House on Crooked Mile Road, Westport, CT at various times of the year",,photograph,,WCMA-Prendergast,1924.0
A.1.760.K,2013-07-01,"House on Crooked Mile Road, Westport, CT at various times of the year",,photograph,,WCMA-Prendergast,1924.0
A.1.760.L,2013-07-01,"House on Crooked Mile Road, Westport, CT at various times of the year",,photograph,,WCMA-Prendergast,1924.0
A.1.760.M,2013-07-01,"House on Crooked Mile Road, Westport, CT at various times of the year; yard covered in snow",,photograph,,WCMA-Prendergast,1924.0
A.1.760.N,2013-07-01,"House on Crooked Mile Road, Westport, CT at various times of the year; house covered in snow",,photograph,,WCMA-Prendergast,1924.0
A.1.760.O,2013-07-01,"House on Crooked Mile Road, Westport, CT at various times of the year; house covered in snow",,photograph,,WCMA-Prendergast,1924.0
A.1.760.P,2013-07-01,"House on Crooked Mile Road, Westport, CT at various times of the year; house covered in snow",,photograph,,WCMA-Prendergast,1924.0
A.1.760.Q,2013-07-01,"House on Crooked Mile Road, Westport, CT at various times of the year; house covered in snow",,photograph,,WCMA-Prendergast,1924.0
A.1.760.R,2013-07-01,"House on Crooked Mile Road, Westport, CT at various times of the year; house covered in snow",,photograph,,WCMA-Prendergast,1924.0
A.1.760.S,2013-07-01,"House on Crooked Mile Road, Westport, CT at various times of the year; house covered in snow",,photograph,,WCMA-Prendergast,1924.0
A.1.760.T,2013-07-01,"House on Crooked Mile Road, Westport, CT at various times of the year",,photograph,,WCMA-Prendergast,1924.0
A.1.760.U,2013-07-01,"House on Crooked Mile Road, Westport, CT at various times of the year",,photograph,,WCMA-Prendergast,1924.0
A.1.760.V,2013-07-01,"House on Crooked Mile Road, Westport, CT at various times of the year",,photograph,,WCMA-Prendergast,1924.0
A.1.762.B,2013-07-01,Eugénie Prendergast relatives in France; child wearing hat,,photograph,,WCMA-Prendergast,1924.0
A.1.762.C,2013-07-01,Eugénie Prendergast relatives in France; baby in high chair,,photograph,,WCMA-Prendergast,1924.0
A.1.762.D,2013-07-01,Eugénie Prendergast relatives in France; toddler in dress,,photograph,,WCMA-Prendergast,1924.0
A.1.764.B,2013-07-01,"Apartment of Madame Verlet, Paris; interior",,photograph,,WCMA-Prendergast,1924.0
A.1.764.C,2013-07-01,"Apartment of Madame Verlet, Paris; yard",,photograph,,WCMA-Prendergast,1924.0
A.1.765.B,2013-07-01,"Various locations including Naples, Florida; Francine Brehon and Eugénie Prendergast",,photograph,,WCMA-Prendergast,1952.0
A.1.765.C,2013-07-01,"Various locations including Naples, Florida; House in Naples FL at the Bryant's",,photograph,,WCMA-Prendergast,1952.0
A.1.768.B,2013-07-01,Eugénie Prendergast and various individuals at her Wilton Terrace home; Eugénie Prendergast front steps,,photograph,,WCMA-Prendergast,1954.0
A.1.768.C,2013-07-01,Eugénie Prendergast and various individuals at her Wilton Terrace home; Eugénie Prendergast front steps,,photograph,,WCMA-Prendergast,1954.0
A.1.768.D,2013-07-01,Eugénie Prendergast and various individuals at her Wilton Terrace home; Eugénie Prendergast front steps,,photograph,,WCMA-Prendergast,1954.0
A.1.768.E,2013-07-01,Eugénie Prendergast and various individuals at her Wilton Terrace home; Eugénie Prendergast front steps,,photograph,,WCMA-Prendergast,1954.0
A.1.768.F,2013-07-01,Eugénie Prendergast and various individuals at her Wilton Terrace home; Eugénie Prendergast with male friend/relative on front steps,,photograph,,WCMA-Prendergast,1954.0
A.1.768.G,2013-07-01,Eugénie Prendergast and various individuals at her Wilton Terrace home; House exterior,,photograph,,WCMA-Prendergast,1954.0
A.1.768.H,2013-07-01,Eugénie Prendergast and various individuals at her Wilton Terrace home; House exterior,,photograph,,WCMA-Prendergast,1954.0
A.1.768.I,2013-07-01,Eugénie Prendergast and various individuals at her Wilton Terrace home; House exterior,,photograph,,WCMA-Prendergast,1954.0
A.1.768.J,2013-07-01,Eugénie Prendergast and various individuals at her Wilton Terrace home; Eugénie Prendergast and Francine Behon on front steps,,photograph,,WCMA-Prendergast,1954.0
A.1.768.K,2013-07-01,Eugénie Prendergast and various individuals at her Wilton Terrace home; Eugénie Prendergast and Francine Behon on front steps,,photograph,,WCMA-Prendergast,1954.0
A.1.768.L,2013-07-01,Eugénie Prendergast and various individuals at her Wilton Terrace home; Eugénie Prendergast on front steps,,kodacolor print,,WCMA-Prendergast,1954.0
A.1.768.M,2013-07-01,Eugénie Prendergast and various individuals at her Wilton Terrace home; Eugénie Prendergast on front steps,,kodacolor print,,WCMA-Prendergast,1954.0
A.1.768.N,2013-07-01,Eugénie Prendergast and various individuals at her Wilton Terrace home; Eugénie Prendergast on front steps,,kodacolor print,,WCMA-Prendergast,1954.0
A.1.768.O,2013-07-01,Eugénie Prendergast and various individuals at her Wilton Terrace home; House exterior,,kodacolor print,,WCMA-Prendergast,1954.0
A.1.768.P,2013-07-01,Eugénie Prendergast and various individuals at her Wilton Terrace home; House exterior,,kodacolor print,,WCMA-Prendergast,1954.0
A.1.768.Q,2013-07-01,Eugénie Prendergast and various individuals at her Wilton Terrace home; house exterior,,kodacolor print,,WCMA-Prendergast,1954.0
A.1.768.R,2013-07-01,Eugénie Prendergast and various individuals at her Wilton Terrace home; Eugénie Prendergast on front steps,,kodacolor print,,WCMA-Prendergast,1954.0
A.1.768.S,2013-07-01,Eugénie Prendergast and various individuals at her Wilton Terrace home; Eugénie Prendergast with Van Wyck and Gladys Brooks,,kodacolor print,,WCMA-Prendergast,1954.0
A.1.769.B,2013-07-01,Home of Van Wyck and Gladys Brooks; Eugénie Prendergast on front porch,,photograph,,WCMA-Prendergast,1954.0
A.1.769.C,2013-07-01,Home of Van Wyck and Gladys Brooks; house exterior,,photograph,,WCMA-Prendergast,1954.0
A.1.769.D,2013-07-01,Home of Van Wyck and Gladys Brooks; house exterior,,photograph,,WCMA-Prendergast,1954.0
A.1.769.E,2013-07-01,Home of Van Wyck and Gladys Brooks; house exterior,,photograph,,WCMA-Prendergast,1954.0
A.1.773.B,2013-07-01,Eugénie Prendergast's house on Wilton Terrace,,photograph,,WCMA-Prendergast,1956.0
A.1.773.C,2013-07-01,Eugénie Prendergast's house on Wilton Terrace,,photograph,,WCMA-Prendergast,1956.0
A.1.773.D,2013-07-01,Eugénie Prendergast's house on Wilton Terrace,,photograph,,WCMA-Prendergast,1956.0
A.1.773.E,2013-07-01,Eugénie Prendergast's house on Wilton Terrace,,photograph,,WCMA-Prendergast,1956.0
A.1.773.F,2013-07-01,Eugénie Prendergast's house on Wilton Terrace,,photograph,,WCMA-Prendergast,1956.0
A.1.775.B,2013-07-01,"Thanksgiving 1956, Eugénie Prendergast on beach on Long Island Sound",,kodacolor print,,WCMA-Prendergast,1956.0
A.1.775.C,2013-07-01,"Thanksgiving 1956, Eugénie Prendergast on beach on Long Island Sound",,kodacolor print,,WCMA-Prendergast,1956.0
A.1.775.D,2013-07-01,"Thanksgiving 1956, Eugénie Prendergast at Wilton Terrace",,kodacolor print,,WCMA-Prendergast,1956.0
A.1.775.E,2013-07-01,"Thanksgiving 1956, Eugénie Prendergast at Wilton Terrace",,kodacolor print,,WCMA-Prendergast,1956.0
A.1.775.F,2013-07-01,"Thanksgiving 1956, Eugénie Prendergast on beach on Long Island Sound",,Kodacolor print,,WCMA-Prendergast,1956.0
A.1.775.G,2013-07-01,"Thanksgiving 1956, Eugénie Prendergast at Wilton Terrace",,Kodacolor print,,WCMA-Prendergast,1956.0
A.1.775.H,2013-07-01,"Thanksgiving 1956, Eugénie Prendergast on beach on Long Island Sound",,photograph,,WCMA-Prendergast,1956.0
A.1.775.I,2013-07-01,"Thanksgiving 1956, Eugénie Prendergast on beach on Long Island Sound",,photograph,,WCMA-Prendergast,1956.0
A.1.776.B,2013-07-01,Eugénie Prendergast vacationing with friends; Eugénie Prendergast with two female friends,,color,,WCMA-Prendergast,1954.0
A.1.776.C,2013-07-01,Eugénie Prendergast vacationing with friends; Eugénie Prendergast with friends at a monument,,color,,WCMA-Prendergast,1954.0
A.1.776.D,2013-07-01,Eugénie Prendergast vacationing with friends; Eugénie Prendergast in front of Cambria Pines Lodge with a friend,,color,,WCMA-Prendergast,1954.0
A.1.776.E,2013-07-01,Eugénie Prendergast vacationing with friends; Eugénie Prendergast at a canyon with friends,,color,,WCMA-Prendergast,1954.0
A.1.778.B,2013-07-01,Eugénie Prendergast and friends in California (Los Angeles and Santa Barbara); Eugénie Prendergast with friends at table,,photograph,,WCMA-Prendergast,1957.0
A.1.778.C,2013-07-01,Eugénie Prendergast and friends in California (Los Angeles and Santa Barbara); Eugénie Prendergast with friends in front of sculpture,,photograph,,WCMA-Prendergast,1957.0
A.1.778.D,2013-07-01,Eugénie Prendergast and friends in California (Los Angeles and Santa Barbara); Eugénie Prendergast with friend seated,,photograph,,WCMA-Prendergast,1957.0
A.1.779.B,2013-07-01,"Venice, Italy including Robert Brady, John Brady and sister; Robert (left) and John (right) Brady",,photograph,,WCMA-Prendergast,1957.0
A.1.779.C,2013-07-01,"Venice, Italy including Robert Brady, John Brady and sister; John (left) and Robert (right) Brady",,photograph,,WCMA-Prendergast,1957.0
A.1.779.D,2013-07-01,"Venice, Italy including Robert Brady, John Brady and sister; sister (left) and John Brady (right)",,photograph,,WCMA-Prendergast,1957.0
A.1.779.E,2013-07-01,"Venice, Italy including Robert Brady, John Brady and sister; Robert (left) and John (right) Brady",,photograph,,WCMA-Prendergast,1957.0
A.1.779.F,2013-07-01,"Venice, Italy; scene",,photograph,,WCMA-Prendergast,1957.0
A.1.779.G,2013-07-01,"Venice, Italy; scene",,photograph,,WCMA-Prendergast,1957.0
A.1.779.H,2013-07-01,"Venice, Italy; scene",,photograph,,WCMA-Prendergast,1957.0
A.1.779.I,2013-07-01,"Venice, Italy; scene",,photograph,,WCMA-Prendergast,1957.0
A.1.782.B,2013-07-01,"Eugénie Prendergast and Robert Brady at a restaurant in Segovia, Spain",,photograph,,WCMA-Prendergast,1958.0
A.1.783.B,2013-07-01,Eugénie Prendergast on front stoop of her Wilton Terrace home,,photograph,,WCMA-Prendergast,1959.0
A.1.787.B,2013-07-01,Eugénie Prendergast and Wilton Terrace home; Wilton Terrace home exterior,,photograph,,WCMA-Prendergast,1960.0
A.1.787.C,2013-07-01,Eugénie Prendergast and Wilton Terrace home; Eugénie Prendergast in front of home,,photograph,,WCMA-Prendergast,1960.0
A.1.787.D,2013-07-01,Eugénie Prendergast and Wilton Terrace home; Eugénie Prendergast in front of home,,photograph,,WCMA-Prendergast,1960.0
A.1.787.E,2013-07-01,Eugénie Prendergast and Wilton Terrace home; Eugénie Prendergast in front of home,,photograph,,WCMA-Prendergast,1960.0
A.1.788.A,2013-07-01,"Cuernavaca, Mexico home of Robert Brady; Robert Brady",,photograph,,WCMA-Prendergast,1964.5
A.1.788.B,2013-07-01,"Cuernavaca, Mexico home of Robert Brady;  Eugénie Prendergast",,photograph,,WCMA-Prendergast,1964.5
A.1.788.C,2013-07-01,"Cuernavaca, Mexico home of Robert Brady; Robert and John Brady",,photograph,,WCMA-Prendergast,1964.5
A.1.788.D,2013-07-01,"Cuernavaca, Mexico home of Robert Brady: table scene with servants",,photograph,,WCMA-Prendergast,1964.5
A.1.788.E,2013-07-01,"Cuernavaca, Mexico home of Robert Brady; pool",,photograph,,WCMA-Prendergast,1964.5
A.1.788.F,2013-07-01,"Cuernavaca, Mexico home of Robert Brady; Eugénie Prendergast",,photograph,,WCMA-Prendergast,1964.5
A.1.788.G,2013-07-01,"Cuernavaca, Mexico home of Robert Brady; Robert Brady in front of house",,photograph,,WCMA-Prendergast,1964.5
A.1.788.H,2013-07-01,"Cuernavaca, Mexico home of Robert Brady; dog in yard",,color photograph,,WCMA-Prendergast,1964.5
A.1.788.I,2013-07-01,"Cuernavaca, Mexico home of Robert Brady; servants in yard",,photograph,,WCMA-Prendergast,1964.5
A.1.788.J,2013-07-01,"Cuernavaca, Mexico home of Robert Brady; pool scene with Robert Brady and Eugénie Prendergast",,photograph,,WCMA-Prendergast,1964.5
A.1.788.K,2013-07-01,"Cuernavaca, Mexico home of Robert Brady; friends in yard",,photograph,,WCMA-Prendergast,1964.5
A.1.788.L,2013-07-01,"Cuernavaca, Mexico home of Robert Brady; man in street",,photograph,,WCMA-Prendergast,1964.5
A.1.788.M,2013-07-01,"Cuernavaca, Mexico home of Robert Brady; Robert Brady",,photograph,,WCMA-Prendergast,1964.5
A.1.788.N,2013-07-01,"Cuernavaca, Mexico home of Robert Brady; house from street",,photograph,,WCMA-Prendergast,1964.5
A.1.788.O,2013-07-01,"Cuernavaca, Mexico home of Robert Brady; house from street",,photograph,,WCMA-Prendergast,1964.5
A.1.788.P,2013-07-01,"Cuernavaca, Mexico home of Robert Brady; Robert Brady",,photograph,,WCMA-Prendergast,1964.5
A.1.788.Q,2013-07-01,"Cuernavaca, Mexico home of Robert Brady; Side of house",,photograph,,WCMA-Prendergast,1964.5
A.1.788.R,2013-07-01,"Cuernavaca, Mexico home of Robert Brady; man in yard",,photograph,,WCMA-Prendergast,1964.5
A.1.788.S,2013-07-01,"Cuernavaca, Mexico home of Robert Brady; Eugénie Prendergast in yard",,photograph,,WCMA-Prendergast,1964.5
A.1.788.T,2013-07-01,"Cuernavaca, Mexico home of Robert Brady; building",,photograph,,WCMA-Prendergast,1964.5
A.1.788.U,2013-07-01,"Cuernavaca, Mexico home of Robert Brady; side of building",,photograph,,WCMA-Prendergast,1964.5
A.1.788.V,2013-07-01,"Cuernavaca, Mexico home of Robert Brady; woman with children in front of house",,photograph,,WCMA-Prendergast,1964.5
A.1.788.W,2013-07-01,"Cuernavaca, Mexico home of Robert Brady; group photo in front of pool",,photograph,,WCMA-Prendergast,1964.5
A.1.788.X,2013-07-01,"Cuernavaca, Mexico home of Robert Brady; group at table with Eugénie prendergast on left",,photograph,,WCMA-Prendergast,1964.5
A.1.788.Y,2013-07-01,"Cuernavaca, Mexico home of Robert Brady; group in front of pool",,photograph,,WCMA-Prendergast,1964.5
A.1.788.Z,2013-07-01,"Cuernavaca, Mexico home of Robert Brady; Eugénie Prendergast in yard",,photograph,,WCMA-Prendergast,1964.5
A.1.788.AA,2013-07-01,"Cuernavaca, Mexico home of Robert Brady; Woman with dog in yard",,color photograph,,WCMA-Prendergast,1964.5
A.1.788.BB,2013-07-01,"Cuernavaca, Mexico home of Robert Brady; Group in yard including servants",,photograph,,WCMA-Prendergast,1964.5
A.1.788.CC,2013-07-01,"Cuernavaca, Mexico home of Robert Brady, man and woman in yard holding small dog",,color photograph,,WCMA-Prendergast,1964.5
A.1.789.B,2013-07-01,Eugénie Prendergast and friends in Mexico; Eugénie Prendergest with friends indoors,,photograph,,WCMA-Prendergast,1974.0
A.1.789.C,2013-07-01,Eugénie Prendergast and friends in Mexico; Eugénie Prendergast with friends at outdoor café,,photograph,,WCMA-Prendergast,1974.0
A.1.789.D,2013-07-01,Eugénie Prendergast and friends in Mexico; Eugénie Prendergast with female friend,,photograph,,WCMA-Prendergast,1974.0
A.1.790.B,2013-07-01,"Scenic postcard of Cuernavaca, Mexico; black and white",,paper,,WCMA-Prendergast,1934.5
A.1.790.C,2013-07-01,"Scenic postcard of Cuernavaca, Mexico; color with writing on back",,paper,,WCMA-Prendergast,1934.5
A.1.795.B,2013-07-01,"Winter Park, Florida; Paul Maynard, Charles Prendergast, Antoinette Maynard and Eugénie Prendergast (l to r)",,photograph,Photo taken the day before the wedding of Antoinette and Paul Maynard.,WCMA-Prendergast,1946.0
A.1.796.B,2013-07-01,"Antoinette Maynard, Charles Prendergast, and Eugénie Prendergast at outdoor café in Winter Park, Florida",,photograph,,WCMA-Prendergast,1946.0
A.1.797,2013-07-01,Margaret Connor in front of Compo Road house,,Kodacolor print,,WCMA-Prendergast,1961.5
A.1.798,2013-07-01,Eugénie Prendergast in front of Compo Road house,,Kodacolor print,,WCMA-Prendergast,0.0
A.1.799.A,2013-07-01,House on Compo Road,,Kodacolor print,,WCMA-Prendergast,1962.5
A.1.800,2013-07-01,"(L to R) Mrs. Genvert, Dr Genvert and Eugénie Prendergast",,photograph,,WCMA-Prendergast,1964.0
A.1.801.A,2013-07-01,"Eugénie Prendergast and relatives in Malmaison, France; Eugénie Prendergast with female relative and two girls",,color photograph,,WCMA-Prendergast,1965.0
A.1.802.A,2013-07-01,Series of house on Compo Road,,color photograph,,WCMA-Prendergast,1965.0
A.1.803.A,2013-07-01,Series of house on Compo Road including Eugénie Prendergast,,color photograph,,WCMA-Prendergast,1966.0
A.1.804.A,2013-07-01,"Series at Compo Road house including Robert Brady, Mr. Van Johnson, Mrs. Van Johnson (?), Mr. Bowden, and  woman; (L to R)  woman and Mr. Bowden",,color photograph,,WCMA-Prendergast,1966.0
A.1.805.A,2013-07-01,"Laurence (9 1/2), Catherine (8) holding Stefanie Brehon (1 month)",,Photograph,,WCMA-Prendergast,1966.0
A.1.806.A,2013-07-01,Series of Palm Beach Florida,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.807.A,2013-07-01,"Compo road house including Eugénie Prendergast and  male; (L to R) unknwon man, Eugénie Prendergast in front of house",,color photograph,,WCMA-Prendergast,1967.0
A.1.808.A,2013-07-01,Gorham house at various times of the year; Spring/Summer,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.809,2013-07-01,Dr. Laird at Gorham house,,color,,WCMA-Prendergast,1967.0
A.1.810.A,2013-07-01,House at Compo Road at various times of year including Eugénie Prendergast and  women standing in front; Eugénie Prendergast in front of house,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.811,2013-07-01,Charles Prendergast Exhibit at MFA Boston; Eugénie Prendergast and two women,,Photograph,,WCMA-Prendergast,1968.0
A.1.812.A,2013-07-01,"Charles Prendergast Exhibition at MFA Boston; (L to R) Eugénie Prendergast, Robert Brady, and Perry Rathbone",,photograph,,WCMA-Prendergast,1968.0
A.1.813,2013-07-01,"Charles Prendergast Exhibit at MFA Boston; (L to R) Perry Rathbone, Helen Hayes",,photograph,,WCMA-Prendergast,1968.0
A.1.814,2013-07-01,"Charles Prendergast Exhibit at MFA Boston; (L to R) Perry Rathbone, Eugénie Prendergast",,,,WCMA-Prendergast,1968.0
A.1.815,2013-07-01,"Charles Prendergast Exhibit at MFA Boston; (L to R) Eugénie Prendergast, Helen Hayes, Perry Rathbone",,photograph,,WCMA-Prendergast,1968.0
A.1.816.A,2013-07-01,Series including Eugénie Prendergast and family members in France; Eugénie Prendergast seated with friends,,color photograph,,WCMA-Prendergast,1968.5
A.1.817.A,2013-07-01,"Eugénie Prendergast in Nice, France",,color photograph,,WCMA-Prendergast,1971.0
A.1.818.A,2013-07-01,Eugénie Prendergast at Compo Road house,,Kodacolor print,,WCMA-Prendergast,1972.5
A.1.819.A,2013-07-01,Eugénie Prendergast in front of statue,,Color photograph,,WCMA-Prendergast,1975.0
A.1.820,2013-07-01,"Photograph of Helen Hayes with inscription: ""To Eugénie Love Helen Hayes""",,photograph,,WCMA-Prendergast,1975.0
A.1.821.A,2013-07-01,"Series including Eugénie Prendergast, Antoinette Maynard, and Libby Maynard; (L to R) Eugénie Prendergast, Libby Maynard inside",,color photograph,,WCMA-Prendergast,1977.0
