id,accession_number,accession_date,title,maker,medium,description,classification,creation_date_avg
7654,49.17.24,1949-01-01,The Great Campain has Commenced,Thomas Nast,pencil on paper,,WCMA-DRAWING,1871.0
7656,91.1.13,1991-01-01,Reclining Figure with Red Stripes,Henry Spencer Moore,color lithograph,,WCMA-PRINTS,1973.0
7660,1846.1,1846-01-01,"Portrait of Amos Lawrence, Benefactor",Chester Harding,oil on canvas,,WCMA-PAINTING,1846.0
7663,81.24.37,1981-01-01,Study for viewing modernistic art theme and another subject,Rube Goldberg,pencil on paper,,WCMA-DRAWING,1960.0
7664,39.1.177,1939-01-01,"FOUR YEARS IN THE FIGHT, The Women of France",Lucien-Hector Jonas,poster,,WCMA-PRINTS,1918.0
7665,49.17.83,1949-01-01,Chicago to New York & PhiladelphiaThe Typical Figure of New York Ought to Be Rip Van Winkle,Thomas Nast,wood engraving on newsprint,,WCMA-PRINTS,1892.0
7667,58.2.6,1958-01-01,Cat,Egyptian,bronze,,WCMA-ANCIENT,0.0
7668,98.15.4,1998-12-22,Texas 1955,Robert Louis Frank,gelatin silver print,,WCMA-PHOTO,1955.0
7669,84.26.76,1984-01-01,Untitled,Rube Goldberg,pencil on paper,,WCMA-DRAWING,1926.5
7671,77.4,1977-01-01,Comment va la memoire et La Fontaine? (ou le fusil simplex),Marcel Broodthaers,lithograph,,WCMA-PRINTS,1973.0
7673,92.15.1,1992-01-01,Untitled sketch on Title Page of Peasant Art in Russia by Charles Holme,Maurice Brazil Prendergast,pencil on paper,sketch on inside front cover of book binding,WCMA-Prendergast,1896.0
7674,87.16.67,1987-01-01,Cat sculpture,Wayne Wadhams,gelatin silver print,,WCMA-PHOTO,1978.0
7676,M.2001.1.2,2001-03-23,"The Holocaust Series XII, As If They Had Never Been",Carol Rosen,artist book,,WCMA-DEC ARTS,2000.0
7677,83.29.12,1983-01-01,Life's little jokes-- number 752163| Mike & Ike - They Look Alike,Rube Goldberg,ink on paper,paper is Strathmore drawing board,WCMA-DRAWING,1924.5
7679,86.1,1986-01-01,Cow,Charles Prendergast,woodcut,,WCMA-Prendergast,1977.0
7682,79.75.44,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
7683,81.13.4,1981-01-01,Lampshade,Patrick Caulfield,color screenprint on paper,,WCMA-PRINTS,1969.0
7685,37.2.6,1937-01-01,L'Aurore: Le chant du coq,Charles François Daubigny,etching on paper,,WCMA-PRINTS,1867.5
7686,92.5.99,1992-01-01,Old Man with Beard,Anonymous (Italian?),etching,,WCMA-PRINTS,0.0
7687,77.9.66,1977-01-01,Double Portrait,Marcia Marcus,oil on canvas,two canvases framed together,WCMA-PAINTING,1962.0
7691,RC.22.26,1994-01-01,Indian pouch,North American Indian,leather hide with grass weave decoration on top,,WCMA Reserve Collection,0.0
7692,81.31.66,1981-01-01,Piazza del Popolo (from Vedute di Roma),Giovanni Battista Piranesi,etching on paper,,WCMA-PRINTS,1778.0
7693,97.2,1997-01-29,Doctor's Bar,Glenn O. Coleman,charcoal and graphite on paper,,WCMA-DRAWING,1910.0
7694,98.8.7,1998-10-23,Miao baby carrier with straps,Chinese,fabric | sequins | embroidery,,WCMA-EASTERN,1949.5
7695,78.31.4,1978-01-01,Kinran fragment,Japanese,brocaded silk,white ground with multicolor geometric pattern. Narrow border strips on either side. Orange silk backing; gold brocade,WCMA-EASTERN,1749.5
7698,98.8.1.A,1998-10-23,Shoe,Chinese,cotton | gold thread | cotton thread,,WCMA-EASTERN,1949.5
7701,92.22.27,1992-01-01,Untitled: NYC 1948,Louis Faurer,gelatin silver print,,WCMA-PHOTO,1948.0
7702,52.14.A,1952-01-01,Wall Vase,English,silver,,WCMA-DEC ARTS,1640.0
7704,75.43.30,1975-01-01,Amphora,Phoenicia,glass,cobalt with lighter blue and yellow decoration. An amphora is a jar with two vertical handles.,WCMA-ANCIENT,-150.0
7705,EL.75.3.3.D,,Foil ornament with pattern,"Mycenaean, Greek",gold foil,,WCMA-ANCIENT,0.0
7706,88.28.4,1988-01-01,5 Second Masses,Ernest Shaw,pencil and crayon on paper,,WCMA-DRAWING,1975.0
7707,85.46.7,1985-01-01,Studies for Sculpture,Henry Spencer Moore,etching and aquatint on paper,,WCMA-PRINTS,1939.0
7709,94.1.37,1994-01-01,Drapery? with design,Italian?,velvet,dark green,WCMA-DEC ARTS,0.0
7710,60.40,1960-01-01,Flower Piece - Poppies,Yovan Radenkovitch,oil on board,,WCMA-PAINTING,1955.0
7711,RC.30.16.B,1959,Small cup,American?,pewter,,WCMA Reserve Collection,0.0
7712,RC.15.21.G,1992-01-01,Lawrence Hall,Richard J. Gagliano,photocopy of blueprint,,WCMA Reserve Collection,1980.5
7714,95.18.13,1995-12-22,"""A Picture Show by the Artist Andy Warhol"" Announcement card for exhibition based on the book ""A Gold Book by Andy Warhol"".  [Stuttgart, Germany, 1976].",Andy Warhol,print,,WCMA-PRINTS,1976.0
7716,37.2.147,1937-01-01,Le Petit Pifferaro,Leygue,etching on paper,,WCMA-PRINTS,1886.0
7718,99.1.90,1999-03-05,"""Precious Jewel of Thy Home Return.""--Shakespeare",Thomas Nast,wood engraving on newsprint,"from ""Richard II"" by William Shakespeare (written ca. 1595)",WCMA-PRINTS,1874.0
7720,79.18.8,1979-01-01,Facade of Strasbourg Cathedral,L. L. Roger-Viollet,albumen print,,WCMA-PHOTO,1849.5
7723,78.31.3,1978-01-01,Kinran fragment,Japanese,brocaded silk,gold brocade,WCMA-EASTERN,1749.5
7724,61.19.3.C,1961-01-01,Glass fragment,Egyptian,glass,opaque yellow and blue,WCMA-ANCIENT,-150.0
7725,78.59.36,1978-01-01,Pottery Sherd,Greek,clay,,WCMA-ANCIENT,-900.0
7729,65.21.A,1965-01-01,Studio Window,Joseph M. Wood III,auditor's ballpoint pen,,WCMA-DRAWING,1965.0
7731,87.16.111,1987-01-01,Male head,Wayne Wadhams,gelatin silver print,,WCMA-PHOTO,1978.0
7732,1887.1.17,1887-01-01,Kantharos,Etruscan,bucchero nero,,WCMA-ANCIENT,-400.0
7734,39.1.384,1939-01-01,My Soldier,Hiram Harold Green,poster,,WCMA-PRINTS,1918.0
7735,77.53.46,1977-01-01,Untitled (D. X),Richard Howard Hunt,screenprint on paper,,WCMA-PRINTS,1974.0
7737,66.14,1966-01-01,"Poster for ""Otto Dix Exhibition""",Otto Dix,lithograph on paper,,WCMA-PRINTS,1966.0
7738,69.10,1969-01-01,Louis XV-XVI Oval Writing Table,French,mahogany veneer | marble | metal,,WCMA-DEC ARTS,1777.5
7739,70.10,1970-01-01,Self Portrait,Ludwig Meidner,lithograph on paper,,WCMA-PRINTS,1920.0
7742,39.1.167,1939-01-01,"""Good Bye, Dad, I'm Off To Fight For Old Glory, You Buy U.S. Gov't Bonds""",Laurence S. Harris,poster,,WCMA-PRINTS,1918.0
7743,75.30,1975-01-01,Tow Truck,Salvatore Gulino,acrylic on canvas,,WCMA-PAINTING,1975.0
7744,92.17.102.D,1992-01-01,Spring: Matinee d'Automne,Charles Louis Philippe Zilcken,etching,,WCMA-PRINTS,1898.5
7747,85.46.23,1985-01-01,Untitled,Bernard William Meadows,gouache,color; support?; attached to board,WCMA-DRAWING,1979.0
7749,61.19.1.U,1961-01-01,Rectangular Plaque Amulet,Egyptian,faience,light green. decorated with three incised figures on recto.,WCMA-ANCIENT,0.0
7750,93.1.12.B,1993-01-01,Amulet (?) of a seated figure,Egyptian,glass,translucent blue glass apparently pressed into a mold,WCMA-ANCIENT,0.0
7751,53.42.B,1953-01-01,Floor lamp with metal crown reflector,Spanish?,wrought iron,,WCMA-DEC ARTS,0.0
7752,85.22.15,1985-01-01,Birthday Card,Charles Prendergast,watercolor and pencil on paper,,WCMA-Prendergast,1936.5
7753,20.1.21,1920-01-01,Tablet with cuneiform,Sumerian,clay,,WCMA-ANCIENT,-2050.0
7755,49.14,1949-01-01,Femme,Pablo Picasso,"etching, aquatint and drypoint on paper",,WCMA-PRINTS,1922.5
7756,39.1.336,1939-01-01,COMITÉ D'ASSISTANCE EN ALSACE-LORRAINE,Emile Friant,poster,,WCMA-PRINTS,1916.0
7758,92.22.41,1992-01-01,"San Genaro Festival, NYC 1950",Louis Faurer,gelatin silver print,,WCMA-PHOTO,1965.5
7759,80.32.14,1980-01-01,Man & Horse V,Elisabeth Frink,lithograph on paper,,WCMA-PRINTS,1971.0
7761,77.5,1977-01-01,"Arcs, Circles, & Grids",Sol LeWitt,silkscreen,,WCMA-PRINTS,1972.0
7762,76.37.5.D,1976-01-01,Single-coil Bracelet,Macedonia,bronze,,WCMA-ANCIENT,-500.0
7763,80.46.62,1980-01-01,"Untitled (from ""Son of Bitch"")",Elliott Erwitt,gelatin silver print,,WCMA-PHOTO,1974.0
7764,52.7.16,1952-01-01,John Burroughs,John Harmon Cassel,crayon and ink on board,,WCMA-DRAWING,1902.0
7765,81.25,1981-01-01,Shiva Andhakasuramurti,India,pink sandstone,,WCMA-EASTERN,1049.5
7766,92.17.88,1992-01-01,Moonrise,Carel Nicholaas Storm van's-Gravesande,etching on paper,,WCMA-PRINTS,1880.5
7767,93.1.74,1993-01-01,Incised lid,Mesoamerican?,terracotta,red,WCMA-AMERINDIAN,0.0
7773,39.1.382,1939-01-01,My Soldier,Hiram Harold Green,poster,,WCMA-PRINTS,1918.0
7780,84.32.16,1984-01-01,Textile with design and gold trim,Anonymous (Italian),velvet,green with raised design; gold satin backing,WCMA-DEC ARTS,0.0
7781,91.35.15,1991-01-01,Diamond Shoals,Jerome Eugene Kaplan,lithograph on paper,,WCMA-PRINTS,1966.0
7783,81.24.6,1981-01-01,Get pickle out of worm watcher's club,Rube Goldberg,pencil on paper,,WCMA-DRAWING,1926.5
7785,RC.5.53,1992-01-01,"Blind Time III, No. 5",Robert Morris,lithograph on paper,,WCMA Reserve Collection,1977.0
7786,78.30.11,1978-01-01,Repose,Lionel Arthur Lindsay,wood engraving on paper,,WCMA-PRINTS,1938.0
7787,88.15.8,1988-01-01,Exeter Cathedral: The Transept Towers from the Southeast (The Genius of the Sailing Ship),Dennis Creffield,charcoal on paper,,WCMA-DRAWING,1987.0
7790,M.2005.15.J,2005-04-13,"Hampton: A Class in Drafting (from ""The Hampton Project"")",Carrie Mae Weems,digital photograph printed with water-soluble pigmented ink on muslin banner,"source material image, courtesy Hampton University Archives",WCMA-PHOTO,2000.0
7791,99.1.188,1999-03-05,"The Off Year in Politics--""A Falling Off of Votes.""",Thomas Nast,wood engraving on newsprint,,WCMA-PRINTS,1881.0
7794,87.11.2,1987-01-01,Winter Landscape with Birches,Thomas R. Curtin,oil on canvas board,,WCMA-PAINTING,1938.0
7797,99.16.41,1999-12-27,In The Studio,Raphael Soyer,lithograph on paper,,WCMA-PRINTS,1935.0
7798,95.4.55,1995-03-03,Contemporary series of six flowers,Toyohara Kunichika,color woodblock print,,WCMA-EASTERN,1867.0
7799,78.38.40,1978-01-01,"The Puzzle of Female Pleasure (from ""General Dynamic F.U.N."")",Eduardo Luigi Paolozzi,screenprint on paper,,WCMA-PRINTS,1968.0
7801,91.15.26,1991-01-01,"Thakur Bakhtawar Singh, Seated on an Elephant with two Attendants, in Procession with Numerous Retainers on Foot",Rajasthan,"opaque watercolor on paper, heightened with gold and silver","watercolor glued to backing sheet, many fragments, seems stable",WCMA-EASTERN,1774.5
7802,78.28,1978-01-01,Jui cinnabar scepter,Chinese,carved lacquer,,WCMA-EASTERN,1799.5
7803,61.19.2.A,1961-01-01,Scarab,Egyptian,stone,,WCMA-ANCIENT,0.0
7804,77.9.131,1977-01-01,"White Rectangle, Red Edge",Walter Plate,oil and collage on canvas,,WCMA-PAINTING,1972.0
7806,78.27,1978-01-01,Untitled Art Stamp,Nicholas Lewis,gelatin silver print,photographic stamp attached to postcard,WCMA-PHOTO,1964.0
7807,82.26.29,1982-01-01,Woman and Eggbeater,Rube Goldberg,pencil on paper,,WCMA-DRAWING,1960.0
7810,87.14.22,1987-01-01,The Presentation of the Virgin in the Temple,John Baptist Jackson,chiaroscuro woodcut on paper mounted to board,,WCMA-PRINTS,1740.5
7811,80.27.5,1980-01-01,Vertical Feint Ruled,Gordon House,etching on paper,,WCMA-PRINTS,1970.0
7812,93.1.18.D,1993-01-01,Arrow head,North American Indian?,stone,tan,WCMA-AMERINDIAN,0.0
7814,85.46.35,1985-01-01,"Wine, Women and Song",James Koening,linoleum cut on tissue paper,,WCMA-PRINTS,1949.0
7815,A.1.2.EE,1998-12-11,carving tool,Charles Prendergast,wood; metal,,WCMA-Prendergast,1905.5
7816,91.27.66,1991-01-01,Landscape,Charles François Daubigny,etching on paper,,WCMA-PRINTS,1874.0
7819,76.37.5.E,1976-01-01,Single-coil Bracelet,Macedonia,bronze,,WCMA-ANCIENT,-500.0
7820,38.21,1938-01-01,The Lindy Hop,Miguel Duclaud Covarrubias,lithograph on paper,,WCMA-PRINTS,1936.0
7822,92.21.52,1992-01-01,"Bus No.7, New York City 1950",Louis Faurer,gelatin silver print,,WCMA-PHOTO,1965.0
7825,78.38.50,1978-01-01,"Watch Out for Miracles...New Hope for Better Babies (from ""General Dynamic F.U.N."")",Eduardo Luigi Paolozzi,color screenprint on paper,,WCMA-PRINTS,1968.0
7826,84.26.130.B,1984-01-01,Page from sketchpad,Rube Goldberg,pen and pencil on paper,,WCMA-DRAWING,1926.5
7827,92.17.56,1992-01-01,Feeding Poultry,Anonymous,engraving,,WCMA-PRINTS,1821.0
7828,RC.10,1992-01-01,Ivanicana: A Tribute to Ivan Albright,Matthew Wysocki,poster | photograph,,WCMA Reserve Collection,1978.0
7832,39.1.19,1939-01-01,"Oh, Boy! that's the Girl! The Salvation Army Lassie",Anonymous (American),poster,,WCMA-PRINTS,1918.0
7833,41.5.6,1941-01-01,Funerary Mask,Mexican,basalt,black,WCMA-AMERINDIAN,1920.5
7834,79.65.8,1979-01-01,Monkey Paw/St. Tropez,Elliott Erwitt,gelatin silver print,,WCMA-PHOTO,1968.0
7835,94.18,1994-12-25,Study of Nudes,Roger de la Fresnaye,ink on paper,,WCMA-DRAWING,1912.0
7837,37.2.48,1937-01-01,Canal de Hollande près de Rotterdam (Hiver),Johan Barthold Jongkind,etching on paper,,WCMA-PRINTS,1875.0
7838,79.59.20,1979-01-01,The Reduction of Anxiety in Terminal Patients,Ronald B. Kitaj,color screenprint on paper,,WCMA-PRINTS,1955.5
7839,75.17,1975-01-01,Mausolée du Maréchal de Saxe,S. A. Palatine,engraving on paper,pdf added of label found when object was reframed,WCMA-PRINTS,1776.0
7840,92.22.53,1992-01-01,"Maywood, NJ",Joe Maloney,type C color print,,WCMA-PHOTO,1978.0
7844,85.26.12,1985-01-01,Sketchbook Page,Maurice Brazil Prendergast,pencil on sketchbook page,,WCMA-Prendergast,1908.5
7845,80.46.51,1980-01-01,"Untitled (from ""Son of Bitch"")",Elliott Erwitt,gelatin silver print,,WCMA-PHOTO,1974.0
7848,91.27.54,1991-01-01,"Les bergeries, soleil couchant",Félix Hilaire Buhot,"etching, aquatint and drypoint(?) on paper",,WCMA-PRINTS,1881.0
7850,61.19.1.I,1961-01-01,Amulet of Bes,Egyptian,faience,light green. Or possibly Head of Ptah-Seker-Osiris.,WCMA-ANCIENT,0.0
7851,86.18.24,1986-01-01,Three-legged Stool,Charles Prendergast,tempera on gessoed wood,,WCMA-Prendergast,1933.5
7852,A.3.1,1995-05-13,Drop leaf table,"Unknown, American",wood,,WCMA-Prendergast,1905.5
7853,81.12.12,1981-01-01,"Pale Yellow, Pink and Brown (from the New York Suite)",John Hoyland,color screenprint on paper,,WCMA-PRINTS,1971.0
7854,96.15,1996-07-23,Dan Mask,Dan People,wood | iron nails | and | raffia,,WCMA-AFRICAN,1948.0
7858,A.1.2.Q,1998-12-11,plane,Charles Prendergast,steel,,WCMA-Prendergast,1907.5
7860,41.13.2,1941-01-01,Study from the nude: Man seated before a curtain,Rembrandt van Rijn,etching on paper,,WCMA-PRINTS,1646.0
7862,RC.5.18,1992-01-01,Blind Time III (No. ),Robert Morris,lithograph on paper,,WCMA Reserve Collection,1977.0
7864,RC.19.4.C,1993-01-01,"Green River, Massachusetts, Flowers",Michelle Stuart,"handmade paper, mixed media",,WCMA Reserve Collection,1977.0
7865,78.22.74,1978-01-01,Anemonias,Emilio Sanchez,color woodblock on paper,,WCMA-PRINTS,1957.0
7866,84.11.1,1984-01-01,St. John on Patmos,Jacques Callot,etching on paper,,WCMA-PRINTS,1625.0
7867,84.26.31,1984-01-01,Untitled,Rube Goldberg,pencil on paper,,WCMA-DRAWING,1926.5
7868,49.17.47,1949-01-01,I Wish You a Happy...,Thomas Nast,electrotype proof of a wood engraving,,WCMA-PRINTS,1876.0
7869,93.1.14.P,1993-01-01,Animal Amulet,Egyptian,stone,white,WCMA-ANCIENT,0.0
7870,39.1.142,1939-01-01,Boys and Girls! You Can Help Your Uncle Sam Win the War,James Montgomery Flagg,poster,,WCMA-PRINTS,1918.0
7873,99.16.15,1999-12-27,Maiden,Arthur Danto,woodcut on paper,,WCMA-PRINTS,1955.0
7874,46.7.1.E,1946-01-01,Trouser Cash (money buried with the dead),Chinese,brass,,WCMA-EASTERN,1772.5
7877,79.59.19,1979-01-01,Outlying London Districts 2,Ronald B. Kitaj,color lithograph with silkscreen on paper,,WCMA-PRINTS,1955.5
7879,72.32,1972-01-01,"Pilgrim (costume design for Ballet ""Dieu Bleu"" Pélerin)",after Leon Bakst (Lev Samoilovich Rozenberg),watercolor on paper,,WCMA-DRAWING,0.0
7880,93.1.41,1993-01-01,Necklace with beads,Egyptian,beads,blue/green beads,WCMA-ANCIENT,0.0
7882,84.16.2,1984-01-01,Maine Barn,Maurice Brazil Prendergast,oil on coated paperboard panel,,WCMA-Prendergast,1911.5
7883,56.14.K,1956-01-01,Child's Head,Robert Frederick Blum,etching on paper,,WCMA-PRINTS,1879.0
7885,92.5.171.A,1992-01-01,Vue de L'arc de Triomphe de L'Etoile,Jules Arnout,lithograph on paper,,WCMA-PRINTS,0.0
7886,92.21.28,1992-01-01,"Wishing Tree (from ""Harlem Document"")",Aaron Siskind,gelatin silver print,,WCMA-PHOTO,1961.5
7887,79.75.90,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
7888,M.2005.15.P,2005-04-13,"Hampton Alumna (from ""The Hampton Project"")",Carrie Mae Weems,digital photograph printed with water-soluble pigmented ink on muslin banner,"source material image, courtesy Hampton University Archives",WCMA-PHOTO,2000.0
7889,99.1.266,1999-03-05,The Meeting of Nast and Watterson in Central Jersey.-[Drawn on the spot.],Thomas Nast,wood engraving on newsprint,,WCMA-PRINTS,1873.0
7890,91.40.12,1991-01-01,A Glass Ball,Claire Falkenstein,Venetian blown glass,,WCMA-SCULPTURE,1972.0
7891,82.10.18,1982-01-01,Pot Sherd,Roman,ceramic,,WCMA-ANCIENT,0.0
7894,TL.93.88.2,,"The Marikina or Silky Monkey (from ""Silky Monkey Series"")",Gary Sojkowski,color aquatint on paper,,WCMA-PRINTS,0.0
7896,RC.5.31,1992-01-01,"Blind Time III, No. 4",Robert Morris,lithograph on paper,,WCMA Reserve Collection,1977.0
7898,PB.13,1948-01-01,St. Nicholas the Miracle Worker,Byzantine,tempera on panel,,WCMA-PAINTING,0.0
7899,99.1.282.B,1999-03-05,"""The Solid South.""",Thomas Nast,wood engraving on newsprint,,WCMA-PRINTS,1876.0
7900,MIN.1,1993-01-01,Land Title,Indian?,copper,,WCMA-EASTERN,1707.0
7902,75.31,1975-01-01,Vanitas,Emile Bernard,oil on canvas,,WCMA-PAINTING,1897.0
7903,92.5.75,1992-01-01,"Portrait of Frederick Ferris Thompson (1836-1899), Class of 1856, Trustee 1886-1889, Benefactor",Littlefield,oil on canvas mounted to board,,WCMA-PAINTING,1891.0
7905,EL.81.3.62,,"An Addition to Lawrence Hall, Williams College: Roof Plan and West Elevation: LH-16",American,blueprint,,WCMA-PRINTS,1938.0
7906,79.58.29,1979-01-01,Untitled,Arthur Segal,woodcut,,WCMA-PRINTS,1909.0
7909,30.2.7,1930-01-01,Bowl with collar-like neck,Chihuahua province,clay,"elaborate geometric designs in black, red, and buff",WCMA-AMERINDIAN,0.0
7910,80.50,1980-01-01,The Coliseum [sic],Anonymous (Italian),photogravure,,WCMA-PHOTO,1849.5
7913,82.22.11,1982-01-01,Moon of March,Lloyd Lozes Goff,oil on canvas,,WCMA-PAINTING,1966.0
7914,87.16.91,1987-01-01,Bird ornament,Wayne Wadhams,gelatin silver print,,WCMA-PHOTO,1981.0
7917,94.24.2,1994-12-20,Knot Brooch,Lynda Benglis,sterling silver,,WCMA-DEC ARTS,0.0
7918,79.49.7,1979-01-01,Inferno,Sidney Robert Nolan,screenprint,,WCMA-PRINTS,1967.0
7922,30.1.26,1930-01-01,Flask with spiral ornamentation,Syrian,mold blown glass,"Globular- bodied flask of extremely thin, light-green transparent glass. Expanded mold-blown to produce faint spiral ribbing on body. Tall, cylindrical neck constricted at its base, end in a thicker, slightly flaring fire-polished rim. Concave base; no pontil mark. Remains of a single trail of applied dark-green decoration on upper neck. Large flakes peeling off on interior. Soil incrustation inside, light iridescent film on outside, with patches of silvery enamel-like weather near rim.",WCMA-ANCIENT,249.5
7924,84.17.3,1984-01-01,"Siena, 1968",Harry Morey Callahan,gelatin silver print,,WCMA-PHOTO,1968.0
7925,RC.5.117,1992-01-01,Specifications-Mayaguez Project,Robert Morris,photograph,,WCMA Reserve Collection,0.0
7927,78.51.31,1978-01-01,"Palazzo Strozzi, Una Lanterna",Fratelli Alinari,albumen print,,WCMA-PHOTO,1875.0
7930,95.7.Q,1995-05-13,"Untitled (from ""Artists' Impressions"")",Mary Ristow,lithograph on paper,,WCMA-PRINTS,1990.0
7933,62.41.4,1962-01-01,"Animal Locomotion, Plate #180",Eadweard Muybridge,collotype,,WCMA-PHOTO,1887.0
7934,74.43,1974-01-01,Charles Hinman's Studio,Lowell Nesbitt,oil on canvas,unstretched,WCMA-PAINTING,1968.0
7935,78.34.1,1978-01-01,Child with Pretend Animal,Karel Appel,color lithograph on paper,,WCMA-PRINTS,1971.0
7937,30.3,1930-01-01,"Study for sculptural figures in stairway arch (Museum of Fine Arts, Boston)",John Singer Sargent,charcoal on paper,visible watermark: INGRES,WCMA-PACIFIC,1923.0
7940,92.5.29,1992-01-01,Title ,Anonymous,color lithograph on paper,,WCMA-PRINTS,0.0
7941,93.1.53,1993-01-01,Collar amulet,Egyptian?,faience,,WCMA-ANCIENT,0.0
7942,A.1.2.GGGG,1998-12-11,Filing tool,Craftsman,steel,,WCMA-Prendergast,1905.5
7943,68.12,1968-01-01,Sun-Up,Robert Gwathmey,oil on canvas,,WCMA-PAINTING,1948.0
7944,89.21.11.C,1989-01-01,The Co-Founder of the Word O.K.--Hollywood,Ger van Elk,color photograph,triptych,WCMA-PHOTO,1971.0
7945,89.21.11.A,1989-01-01,The Co-Founder of the Word O.K.--Hollywood,Ger van Elk,color photograph,triptych,WCMA-PHOTO,1971.0
7946,99.1.80,1999-03-05,British Interests.,Thomas Nast,wood engraving on newsprint,,WCMA-PRINTS,1877.0
7947,98.8.8,1998-10-23,Baby Carrier,Chinese,velvet | mattress ticking | embroidery | metal beads,,WCMA-EASTERN,1949.5
7948,PB.2,1929-01-01,The Incredulity of St. Thomas,Anonymous (Byzantine),tempera on panel,,WCMA-PAINTING,1749.5
7950,79.75.105,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
7951,87.16.77,1987-01-01,Mask with earrings,Wayne Wadhams,gelatin silver print,,WCMA-PHOTO,1981.0
7952,70.33,1970-01-01,Measured Plan of Lawrence Hall Rotunda,Eric Silver and Frederick Danz,pencil and ink on paper,,WCMA-DRAWING,1970.0
7953,77.59.1,1977-01-01,Bear Bull,Edward Sheriff Curtis,photogravure,,WCMA-PHOTO,1926.0
7956,92.5.142,1992-01-01,Untitled: Portrait of a man,Pirie MacDonald,silver gelatin print,,WCMA-PHOTO,1907.5
7958,21.1.15,1921-01-01,Round Tripodal Dish,Mayan,earthenware,"incised elongated S's on outside of dish. Short feet resemble animal faces, all feet have 1 incision.",WCMA-AMERINDIAN,0.0
7959,79.59.7,1979-01-01,Barrio,Ronald B. Kitaj,screenprint on handmade paper,,WCMA-PRINTS,1955.5
7961,81.13.45,1981-01-01,"Black, Purple, Blue",Terry Frost,lithograph,,WCMA-PRINTS,1969.0
7962,75.43.6,1975-01-01,Nicolo intaglio with portrait of a man,Roman,gold and agate,,WCMA-ANCIENT,25.0
7963,85.28.3,1985-01-01,Untitled III,Dmitri Baltermants,gelatin silver print,,WCMA-PHOTO,1942.5
7964,79.58.4,1979-01-01,Jai-Alai D,Jesús Rafael Soto,color screenprint on plexiglass,total of 9 components (4 screenprints; 4 sculptures; 1 sculptural box),WCMA-SCULPTURE,1969.0
7965,81.1.23.B,1981-01-01,Details of the Past: Christmas Relics,Neil Rappaport,gelatin silver print,,WCMA-PHOTO,1978.0
7966,77.9.68,1977-01-01,The Gun,Walter Tandy Murch,oil on canvas,adhered to board,WCMA-PAINTING,1957.0
7967,TC.2,1944-01-01,Mandarin Skirt,Chinese,embroidered silk crepe,per Jan Reeder,WCMA-EASTERN,1875.0
7968,94.28.E,1994-12-25,"Girl in window, Havana, 1932 (from ""Walker Evans I"")",Walker Evans,black and white photograph,,WCMA-PHOTO,1977.0
7969,78.35.3,1978-01-01,"Pews (from ""News,Mews,Pews,Brews,Stews & Dues"")",Edward Ruscha,organic screenprint on paper,background pigment made from Hershey's chocolate flavour syrup and Camp coffe and chicory essence with squid in ink,WCMA-PRINTS,1970.0
7970,84.17.4,1984-01-01,Provincetown,Harry Morey Callahan,gelatin silver print,,WCMA-PHOTO,1972.0
7971,RC.17.8,1993-01-01,Figure studies,attributed to Isabelle Makepeace,pencil on paper,,WCMA Reserve Collection,1968.0
7972,41.15.58,1941-01-01,Album bound in wooden boards containing thirty studies of orchids and bamboo,Mong-lan Ku-shi,ink and color on paper,30 studies,WCMA-EASTERN,1948.0
7973,94.1.25,1994-01-01,Textile with floral design,Italian?,velvet,green raised velvet design with gold thread border; mustard yellow color backing of satin,WCMA-DEC ARTS,0.0
7976,81.13.78,1981-01-01,Black Leaf Form,William Turnbull,lithograph on paper,,WCMA-PRINTS,1967.0
7977,80.13.6,1980-01-01,Abstract Composition,Abraham Walkowitz,ink and pencil on paper,,WCMA-DRAWING,1934.5
7978,52.11,1950-01-01,Portrait of General Lloyd,Francis Cotes,oil on canvas,,WCMA-PAINTING,1748.0
7980,59.21.9.O,1959-01-01,Amulet of the Red Crown of Lower Egypt,Egyptian,,,WCMA-ANCIENT,0.0
7981,38.9,1938-01-01,Man with raised sword,Alexandre Gabriel Decamps,"ink, graphite and white heightening on brown paper",,WCMA-DRAWING,1833.5
7982,EL.75.3.21,,Strawberry wreath,Greek?,gold,,WCMA-ANCIENT,-299.5
7983,21.1.2,1921-01-01,Small Female Fertility Fetish,Columbian,terracotta,figurine,WCMA-AMERINDIAN,0.0
7984,87.11.3,1987-01-01,Birches,Thomas R. Curtin,oil on canvas,,WCMA-PAINTING,1939.5
7985,86.18.58,1986-01-01,Beach Resort,Maurice Brazil Prendergast,"watercolor, pastel and pencil on paper",,WCMA-Prendergast,1919.0
7989,89.17.1,1989-01-01,Widows One TWO,Werner Büttner,linocut with rubber stamp on paper,,WCMA-PRINTS,1988.0
7991,77.53.22,1977-01-01,The Virtuous Pagans,Jacob Landau,color lithograph on paper,,WCMA-PRINTS,1963.5
7992,71.21,1971-01-01,"""Whoever Believes in Me..."" (from the Misere Series)",Georges Rouault,etching and aquatint on paper,,WCMA-PRINTS,1923.0
7993,94.28.F,1994-12-25,"Lincoln Kirstein, New York, ca. 1931 (from ""Walker Evans I"")",Walker Evans,black and white photograph,,WCMA-PHOTO,1977.0
